time,binanceETHUSDTbidMax,binanceETHUSDTsellMin,nicehashETHUSDTbidMax,nicehashETHUSDTsellMin,okxETHUSDTETH-USDTbidMax,okxETHUSDTETH-USDTsellMin,bitstampETHUSDTbidMax,bitstampETHUSDTsellMin,
638140284204747701,1406.49,1406.5,1404.63,1408.62,1406.9,1405.1,0,0,
638140284204748058,1406.49,1406.5,1404.63,1408.62,1406.9,1405.1,0,0,
638140284207704423,1406.45,1406.5,1404.63,1408.62,1406.9,1405.1,0,0,
638140284207708569,1406.45,1406.49,1404.63,1408.62,1406.9,1405.1,0,0,
638140284207708952,1406.45,1406.46,1404.63,1408.62,1406.9,1405.1,0,0,
638140284209739943,1406.44,1406.46,1404.63,1408.62,1406.9,1405.1,0,0,
638140284210656517,1406.45,1406.46,1404.63,1408.62,1406.9,1405.1,0,0,
638140284242808907,1406.26,1406.46,1404.63,1408.62,1406.9,1405.1,0,0,
638140284242811927,1406.14,1406.46,1404.63,1408.62,1406.9,1405.1,0,0,
638140284242825376,1406.13,1406.46,1404.63,1408.62,1406.9,1405.1,0,0,
638140284242853975,1406.13,1406.41,1404.63,1408.62,1406.9,1405.1,0,0,
638140284242856567,1406.13,1406.35,1404.63,1408.62,1406.9,1405.1,0,0,
638140284242858401,1406.13,1406.34,1404.63,1408.62,1406.9,1405.1,0,0,
638140284242861130,1406.13,1406.23,1404.63,1408.62,1406.9,1405.1,0,0,
638140284242863050,1406.13,1406.14,1404.63,1408.62,1406.9,1405.1,0,0,
638140284242863784,1406.13,1406.14,1404.63,1408.62,1406.9,1405.1,0,0,
638140284243175630,1406.13,1406.14,1404.63,1408.62,1406.8,1405.1,0,0,
638140284247810928,1406.08,1406.14,1404.63,1408.62,1406.8,1405.1,0,0,
638140284247811355,1406.02,1406.14,1404.63,1408.62,1406.8,1405.1,0,0,
638140284247816891,1406.02,1406.13,1404.63,1408.62,1406.8,1405.1,0,0,
638140284247818688,1406.02,1406.03,1404.63,1408.62,1406.8,1405.1,0,0,
638140284247819055,1406.02,1406.03,1404.63,1408.62,1406.8,1405.1,0,0,
638140284249737941,1406.02,1406.03,1404.63,1408.62,1406.76,1405.1,0,0,
638140284259654294,1406.03,1406.03,1404.63,1408.62,1406.76,1405.1,0,0,
638140284259655370,1406.05,1406.03,1404.63,1408.62,1406.76,1405.1,0,0,
638140284259662604,1406.05,1406.06,1404.63,1408.62,1406.76,1405.1,0,0,
638140284274839814,1406.06,1406.06,1404.63,1408.62,1406.76,1405.1,0,0,
638140284274840509,1406.17,1406.06,1404.63,1408.62,1406.76,1405.1,0,0,
638140284274840842,1406.18,1406.06,1404.63,1408.62,1406.76,1405.1,0,0,
638140284274860952,1406.18,1406.28,1404.63,1408.62,1406.76,1405.1,0,0,
638140284274861413,1406.18,1406.28,1404.63,1408.62,1406.76,1405.1,0,0,
638140284275961625,1406.07,1406.28,1404.63,1408.62,1406.76,1405.1,0,0,
638140284275963109,1406.21,1406.28,1404.63,1408.62,1406.76,1405.1,0,0,
638140284275990114,1406.21,1406.22,1404.63,1408.62,1406.76,1405.1,0,0,
638140284293842762,1406.22,1406.22,1404.63,1408.62,1406.76,1405.1,0,0,
638140284293843442,1406.23,1406.22,1404.63,1408.62,1406.76,1405.1,0,0,
638140284293847703,1406.23,1406.24,1404.63,1408.62,1406.76,1405.1,0,0,
638140284294751205,1406.27,1406.24,1404.63,1408.62,1406.76,1405.1,0,0,
638140284294751990,1406.27,1406.24,1404.63,1408.62,1406.76,1405.1,0,0,
638140284294753184,1406.43,1406.24,1404.63,1408.62,1406.76,1405.1,0,0,
638140284294753831,1406.43,1406.24,1404.63,1408.62,1406.76,1405.1,0,0,
638140284294773671,1406.43,1406.44,1404.63,1408.62,1406.76,1405.1,0,0,
638140284295073910,1406.43,1406.44,1404.63,1408.62,1406.77,1405.1,0,0,
638140284295074319,1406.43,1406.44,1404.63,1408.62,1406.8,1405.1,0,0,
638140284295074831,1406.43,1406.44,1404.63,1408.62,1406.87,1405.1,0,0,
638140284295075225,1406.43,1406.44,1404.63,1408.62,1406.87,1405.1,0,0,
638140284295076558,1406.43,1406.44,1404.63,1408.62,1406.97,1405.1,0,0,
638140284295769155,1406.5,1406.44,1404.63,1408.62,1406.97,1405.1,0,0,
638140284295774427,1406.5,1406.51,1404.63,1408.62,1406.97,1405.1,0,0,
638140284297732478,1406.58,1406.51,1404.63,1408.62,1406.97,1405.1,0,0,
638140284297733189,1406.58,1406.51,1404.63,1408.62,1406.97,1405.1,0,0,
638140284297736174,1406.58,1406.59,1404.63,1408.62,1406.97,1405.1,0,0,
638140284297736618,1406.58,1406.59,1404.63,1408.62,1406.97,1405.1,0,0,
638140284306819531,1406.64,1406.59,1404.63,1408.62,1406.97,1405.1,0,0,
638140284306843969,1406.64,1406.65,1404.63,1408.62,1406.97,1405.1,0,0,
638140284306965611,1406.64,1406.65,1404.63,1408.62,1407.16,1405.1,0,0,
638140284306966161,1406.64,1406.65,1404.63,1408.62,1407.16,1405.1,0,0,
638140284306966551,1406.64,1406.65,1404.63,1408.62,1407.16,1405.1,0,0,
638140284307852064,1406.64,1406.67,1404.63,1408.62,1407.16,1405.1,0,0,
638140284307949076,1406.66,1406.67,1404.63,1408.62,1407.16,1405.1,0,0,
638140284307949623,1406.66,1406.67,1404.63,1408.62,1407.16,1405.1,0,0,
638140284328823694,1406.66,1406.67,1404.63,1408.62,1407.26,1405.1,0,0,
638140284328824340,1406.66,1406.67,1404.63,1408.62,1407.26,1405.1,0,0,
