time,binanceLTCBTCbidMax,binanceLTCBTCsellMin,nicehashLTCBTCbidMax,nicehashLTCBTCsellMin,okxLTCBTCLTC-BTCbidMax,okxLTCBTCLTC-BTCsellMin,bitstampLTCBTCbidMax,bitstampLTCBTCsellMin,
638140283637906061,0.003692,0.003693,0.003685,0.0036978,0.003689,0.003693,0,0,
638140283640878929,0.003692,0.003693,0.003685,0.0036978,0.003689,0.003691,0,0,
638140283640879636,0.003692,0.003693,0.003685,0.0036978,0.003689,0.003691,0,0,
638140283640880572,0.003692,0.003693,0.003685,0.0036978,0.003689,0.003691,0,0,
638140283641817914,0.003692,0.003693,0.003685,0.0036978,0.003691,0.003691,0,0,
638140283641819131,0.003692,0.003693,0.003685,0.0036978,0.003691,0.003692,0,0,
638140283641819677,0.003692,0.003693,0.003685,0.0036978,0.003691,0.003692,0,0,
638140283646428975,0.003691,0.003692,0.003685,0.0036978,0.003691,0.003692,0,0,
638140283646429647,0.003691,0.003692,0.003685,0.0036978,0.003691,0.003692,0,0,
638140283653512302,0.003691,0.003693,0.003685,0.0036978,0.003691,0.003692,0,0,
638140283656759718,0.003691,0.003693,0.003685,0.00369779,0.003691,0.003692,0,0,
638140283660873904,0.003691,0.003693,0.003685,0.00369779,0.003691,0.003693,0,0,
638140283682870975,0.003691,0.003693,0.003685,0.00369779,0.00369,0.003693,0,0,
638140283682874812,0.003691,0.003693,0.003685,0.00369779,0.00369,0.003691,0,0,
638140283682875494,0.003691,0.003693,0.003685,0.00369779,0.00369,0.003691,0,0,
638140283683341420,0.003691,0.003692,0.003685,0.00369779,0.00369,0.003691,0,0,
638140283691836314,0.003691,0.003692,0.003685,0.00369779,0.00369,0.003692,0,0,
638140283777409370,0.003691,0.003693,0.003685,0.00369779,0.00369,0.003692,0,0,
638140283799574118,0.003692,0.003693,0.003685,0.00369779,0.00369,0.003692,0,0,
638140283830042709,0.003692,0.003693,0.003685,0.00369779,0.003691,0.003694,0,0,
638140283830043479,0.003692,0.003693,0.003685,0.00369779,0.003691,0.003694,0,0,
638140283832856138,0.003692,0.003693,0.003685,0.00369779,0.00369,0.003694,0,0,
638140283832857433,0.003692,0.003693,0.003685,0.00369779,0.00369,0.003692,0,0,
638140283832857756,0.003692,0.003693,0.003685,0.00369779,0.00369,0.003692,0,0,
638140283832858081,0.003692,0.003693,0.003685,0.00369779,0.00369,0.003692,0,0,
638140283840624181,0.003691,0.003693,0.003685,0.00369779,0.00369,0.003692,0,0,
638140283840624576,0.003691,0.003692,0.003685,0.00369779,0.00369,0.003692,0,0,
638140283853885750,0.003691,0.003692,0.003685,0.00369779,0.00369,0.003693,0,0,
638140283874511417,0.003691,0.003693,0.003685,0.00369779,0.00369,0.003693,0,0,
638140283876546444,0.003691,0.003692,0.003685,0.00369779,0.00369,0.003693,0,0,
638140283907945701,0.003691,0.003692,0.003685,0.00369779,0.00369,0.003691,0,0,
638140283907946326,0.003691,0.003692,0.003685,0.00369779,0.00369,0.003691,0,0,
638140283908876194,0.003691,0.003692,0.003685,0.00369779,0.00369,0.003693,0,0,
