time,binanceETHBTCbidMax,binanceETHBTCsellMin,nicehashETHBTCbidMax,nicehashETHBTCsellMin,okxETHBTCETH-BTCbidMax,okxETHBTCETH-BTCsellMin,bitstampETHBTCbidMax,bitstampETHBTCsellMin,cryptoETHBTCbidMax,cryptoETHBTCsellMin,
638143201400882183,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201401840894,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201402860277,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201402862300,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201403800780,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201404910368,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201404911123,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201405877286,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201405878078,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201407849439,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201408963894,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201408964923,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201409888230,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201409890543,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201410966709,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201411991344,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201411991909,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201412904482,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
