time,binanceAAVEBTCbidMax,binanceAAVEBTCsellMin,nicehashAAVEBTCbidMax,nicehashAAVEBTCsellMin,okxAAVEBTCAAVE-BTCbidMax,okxAAVEBTCAAVE-BTCsellMin,bitstampAAVEBTCbidMax,bitstampAAVEBTCsellMin,cryptoAAVEBTCbidMax,cryptoAAVEBTCsellMin,
638143199934830334,0,0,0,0.00316331,0.003154,0.003159,0.00315449,0.00316202,0.0031502,0.0031638,
638143199935676568,0,0,0,0.00316331,0.003154,0.003159,0.00315449,0.00316202,0.0031502,0.0031638,
638143199935857717,0,0,0,0.00316331,0.003154,0.003159,0.00315449,0.00316202,0.0031502,0.0031638,
638143199940946338,0,0,0,0.00316331,0.003154,0.003159,0.00315449,0.00316202,0.0031502,0.0031638,
638143199942149600,0,0,0,0.00316331,0.003154,0.003159,0.00315449,0.00316202,0.0031502,0.0031638,
638143199943922973,0,0,0,0.00316331,0.003154,0.003159,0.00315449,0.00316202,0.0031502,0.0031638,
638143199946950582,0,0,0,0.00316331,0.003154,0.003159,0.00315449,0.00316202,0.0031502,0.0031638,
638143199946977037,0,0,0,0.00316331,0.003154,0.003159,0.00315449,0.00316202,0.0031502,0.0031638,
638143199948118808,0,0,0,0.00316331,0.003154,0.003159,0.00315449,0.00316202,0.0031502,0.0031638,
638143199957936734,0,0,0,0.00316331,0.003154,0.003159,0.00315449,0.00316202,0.0031502,0.0031638,
638143199960977607,0,0,0,0.00316331,0.003154,0.003159,0.00315449,0.00316202,0.0031502,0.0031638,
638143199969842500,0,0,0,0.00316331,0.003154,0.003159,0.00315449,0.00316202,0.0031502,0.0031638,
638143199975066624,0,0,0,0.00316331,0.003154,0.003159,0.00315449,0.00316202,0.0031502,0.0031638,
638143199980190553,0,0,0,0.00316331,0.003154,0.003159,0.00315449,0.00316202,0.0031502,0.0031638,
638143199980309830,0,0,0,0.00316331,0.003154,0.003159,0.00315449,0.00316202,0.0031502,0.0031638,
638143199980871509,0,0,0,0.00316331,0.003154,0.00316,0.00315449,0.00316202,0.0031502,0.0031638,
638143199980872090,0,0,0,0.00316331,0.003154,0.00316,0.00315449,0.00316202,0.0031502,0.0031638,
638143199997132974,0,0,0,0.00316331,0.003153,0.00316,0.00315449,0.00316202,0.0031502,0.0031638,
638143199997133721,0,0,0,0.00316331,0.003153,0.00316,0.00315449,0.00316202,0.0031502,0.0031638,
638143199998022341,0,0,0,0.00316331,0.003153,0.00316,0.00315449,0.00316202,0.0031502,0.0031638,
638143200000092248,0,0,0,0.00316331,0.003153,0.003159,0.00315449,0.00316202,0.0031502,0.0031638,
638143200000092692,0,0,0,0.00316331,0.003153,0.003159,0.00315449,0.00316202,0.0031502,0.0031638,
638143200005931418,0,0,0,0.00316331,0.003153,0.003158,0.00315449,0.00316202,0.0031502,0.0031638,
638143200009921438,0,0,0,0.00316331,0.003153,0.003158,0.00315449,0.00316202,0.0031502,0.0031638,
638143200029295054,0,0,0,0.00316331,0.003153,0.003158,0.00315449,0.00316202,0.0031502,0.0031638,
638143200029297321,0,0,0,0.00316331,0.003153,0.003157,0.00315449,0.00316202,0.0031502,0.0031638,
638143200030551085,0,0,0,0.00316331,0.003153,0.003157,0.00315449,0.00316202,0.0031502,0.0031638,
638143200032954445,0,0,0,0.00316331,0.003153,0.003158,0.00315449,0.00316202,0.0031502,0.0031638,
638143200044476693,0,0,0,0.00316331,0.003152,0.003158,0.00315449,0.00316202,0.0031502,0.0031638,
638143200044477226,0,0,0,0.00316331,0.003152,0.003158,0.00315449,0.00316202,0.0031502,0.0031638,
638143200047879476,0,0,0,0.00316331,0.003152,0.003158,0.00315449,0.00316202,0.0031502,0.0031638,
638143200050535360,0,0,0,0.00316331,0.003152,0.003158,0.00315449,0.00316202,0.0031502,0.0031638,
638143200057188312,0,0,0,0.00316331,0.003152,0.003157,0.00315449,0.00316202,0.0031502,0.0031638,
